Customer Type,Orders,Order Share (%),Quantity,Sales,Sales Share (%),AOV,Cancellation Rate (%),Return Rate (%)
B2C,119435,99.339594,115656,77905565.6,99.246822,694.85333,14.317411,1.652782
B2B,794,0.660406,840,591220.79,0.753178,768.817672,8.312343,0.755668
